Id,Title,Category,Priority,Service,UserReport,BusinessImpact,InitialClues,EscalationCriteria
SUP-001,Microsoft 365 sign-in failure,Identity,P2,Microsoft 365,"User can sign into Windows but Outlook and Teams repeatedly request credentials.","User cannot access email or meetings.","Windows sign-in works; issue started after password change; browser sign-in result unknown.","Escalate if account state is healthy but token or Conditional Access evidence indicates a tenant-side policy issue."
SUP-002,OneDrive synchronization failure,Microsoft 365,P3,OneDrive,"OneDrive shows a red X and files are not uploading.","User cannot share current project documents.","Storage quota unknown; path length and invalid file names not yet checked.","Escalate if local client reset and file checks succeed but service health or tenant configuration remains suspect."
SUP-003,Intune device non-compliance,Endpoint Management,P2,Microsoft Intune,"Company Portal reports the device as non-compliant and access is blocked.","User cannot access protected corporate applications.","Device is Entra joined; last successful sync is unknown; BitLocker state must be checked.","Escalate if local compliance prerequisites are met but Intune still reports stale or conflicting policy state."
SUP-004,Network printer unavailable,Printing,P3,Print Services,"The office printer is offline for one user while colleagues can still print.","Single user cannot print customer documents.","Printer IP may have changed; local port and queue state not yet verified.","Escalate if the printer is unreachable from multiple devices or print-server configuration requires administrative change."
SUP-005,Windows Update repeatedly fails,Windows,P3,Windows Update,"Updates download but installation fails and rolls back.","Device is missing approved updates.","Disk space and update event codes must be collected; recent servicing changes unknown.","Escalate when component corruption persists after approved local repair steps or a widespread update issue is confirmed."
SUP-006,Repeated account lockout,Identity,P2,Active Directory,"The user account locks several times each morning.","User experiences repeated work interruption.","Old credentials may exist on another device, service, mapped drive, or mobile client.","Escalate when lockout source points to a server, service account, application, or domain-controller issue outside desktop support scope."
SUP-007,Intermittent internet connectivity,Networking,P2,Network Access,"The laptop disconnects from the internet several times per hour.","Calls and cloud applications are disrupted.","Other users are unaffected; wireless signal and adapter events need correlation.","Escalate if packet loss occurs beyond the endpoint, multiple users are affected, or infrastructure monitoring confirms an upstream issue."
SUP-008,BitLocker recovery prompt,Security,P2,BitLocker,"The device requests a BitLocker recovery key after restart.","User cannot start the device.","Recent firmware or hardware change is possible; recovery-key location must be validated through approved channels.","Escalate if no authorized recovery key is available or TPM and firmware changes require security review."
SUP-009,Teams microphone unavailable,Collaboration,P3,Microsoft Teams,"Teams cannot detect the built-in microphone, but audio playback works.","User cannot participate verbally in meetings.","Windows privacy settings, selected Teams device, driver state, and exclusive access need review.","Escalate if the microphone fails across applications after driver and privacy checks or hardware diagnostics indicate failure."
SUP-010,Group Policy not applying,Identity,P3,Group Policy,"A required mapped drive and desktop setting are missing.","User cannot access a departmental share through the expected mapping.","Domain connectivity, OU placement, security filtering, and gpresult evidence are required.","Escalate if GPO scope or permissions require domain administrator changes."
SUP-011,Domain trust relationship failure,Identity,P2,Active Directory,"Windows reports that the trust relationship between the workstation and domain failed.","User cannot sign in with domain credentials.","Secure-channel state and computer-account health need validation.","Escalate if the computer account is missing, duplicated, or secure-channel repair is not authorized."
SUP-012,Suspicious sign-in report,Security,P1,Identity Security,"User received a sign-in alert from an unfamiliar location.","Possible account compromise and data exposure.","User activity, MFA prompts, sign-in timestamps, and session state need immediate review.","Escalate immediately to security operations when activity is unrecognized or compromise indicators are present."
